Country,suicides/100k male,suicides/100k female
Antigua and Barbuda,0.0,0.0
Argentina,14.35,2.8866666666666667
Armenia,4.236666666666666,2.01
Australia,17.616666666666667,5.513333333333333
Austria,28.105,7.248333333333334
Bahamas,2.013333333333333,0.305
Bahrain,0.41500000000000004,0.0
Barbados,0.0,0.0
Belarus,38.88,6.673333333333333
Belgium,25.14833333333333,8.443333333333333
Belize,8.931666666666667,0.4683333333333333
Brazil,9.975,2.26
Bulgaria,18.205000000000002,4.155
Canada,16.863333333333333,5.318333333333333
Chile,18.871666666666666,3.5483333333333333
Colombia,8.913333333333332,1.675
Costa Rica,13.221666666666666,1.655
Croatia,28.81833333333333,6.2316666666666665
Cuba,25.963333333333335,5.78
Cyprus,10.045,0.7233333333333333
Czech Republic,26.156666666666666,4.8549999999999995
Denmark,16.791666666666668,5.633333333333333
Ecuador,8.065,2.415
El Salvador,16.591666666666665,2.7516666666666665
Estonia,31.85166666666667,6.801666666666667
Finland,25.22,7.585
France,25.333333333333332,6.721666666666667
Georgia,8.238333333333333,1.0233333333333332
Germany,19.646666666666665,5.866666666666667
Greece,7.44,1.745
Grenada,0.0,0.0
Guatemala,5.383333333333333,1.3983333333333334
Guyana,47.67166666666666,11.725000000000001
Hungary,35.38166666666667,8.99
Iceland,26.441666666666666,10.431666666666667
Ireland,15.731666666666667,3.8366666666666664
Israel,9.846666666666666,2.521666666666667
Italy,11.398333333333333,2.7449999999999997
Japan,27.346666666666668,11.18
Kazakhstan,40.145,9.299999999999999
Kuwait,1.0183333333333333,0.6283333333333333
Kyrgyzstan,14.258333333333333,4.048333333333333
Latvia,35.443333333333335,4.921666666666667
Lithuania,62.055,12.038333333333334
Luxembourg,9.461666666666666,5.785
Malta,8.975,0.5616666666666666
Mauritius,13.861666666666666,2.4166666666666665
Mexico,9.118333333333334,1.7133333333333332
Netherlands,14.965000000000002,5.956666666666667
New Zealand,17.834999999999997,6.256666666666667
Nicaragua,11.321666666666667,2.1733333333333333
Norway,15.055,6.113333333333333
Panama,7.37,0.8483333333333333
Paraguay,10.068333333333333,2.4966666666666666
Poland,27.405,3.86
Portugal,18.026666666666667,4.095
Puerto Rico,13.486666666666666,1.6116666666666666
Qatar,1.2550000000000001,0.11666666666666665
Republic of Korea,51.23833333333334,20.19
Romania,19.676666666666666,3.3216666666666668
Russian Federation,38.568333333333335,7.093333333333334
Saint Lucia,18.348333333333333,0.6683333333333333
Saint Vincent and Grenadines,0.0,0.0
Serbia,28.825,7.463333333333334
Seychelles,21.900000000000002,0.0
Singapore,16.338333333333335,6.640000000000001
Slovakia,21.235,2.75
Slovenia,39.27166666666667,7.898333333333333
South Africa,1.96,0.5233333333333333
Spain,13.181666666666667,3.705
Suriname,35.53,12.270000000000001
Sweden,18.838333333333335,7.528333333333333
Switzerland,22.116666666666664,6.260000000000001
Thailand,10.523333333333333,2.736666666666667
Turkey,4.461666666666667,1.4416666666666667
Turkmenistan,2.9433333333333334,0.9383333333333334
United Kingdom,11.340000000000002,2.813333333333333
United States,22.521666666666665,5.256666666666667
Uruguay,33.778333333333336,7.736666666666667
Uzbekistan,9.145,3.9983333333333335
